Name;GeoPlaceName;Start_Date;DataValue
Nitrogen Dioxide (NO2);Bronx;01/01/2015;19.97
Nitrogen Dioxide (NO2);Bronx;12/01/2015;22.28
Nitrogen Dioxide (NO2);Bronx;12/31/2015;18.42
Nitrogen Dioxide (NO2);Bronx;01/01/2017;19.35
Nitrogen Dioxide (NO2);Bronx;12/01/2016;26.37
Nitrogen Dioxide (NO2);Bronx;06/01/2011;18.31
Nitrogen Dioxide (NO2);Bronx;06/01/2012;17.02
Nitrogen Dioxide (NO2);Bronx;06/01/2013;15.91
Nitrogen Dioxide (NO2);Bronx;12/01/2010;22.73
Sulfur Dioxide (SO2);Bronx;12/01/2011;3.43
Nitrogen Dioxide (NO2);Bronx;12/01/2011;20.99
Nitrogen Dioxide (NO2);Bronx;12/01/2013;25.87
Nitrogen Dioxide (NO2);Bronx;06/01/2014;15.75
Nitrogen Dioxide (NO2);Bronx;12/01/2009;24.39
Nitrogen Dioxide (NO2);Bronx;12/01/2013;19.8
Sulfur Dioxide (SO2);Bronx;12/01/2015;0.33
Sulfur Dioxide (SO2);Bronx;12/01/2012;2.16
Ozone (O3);Bronx;05/31/2016;33.09
Nitrogen Dioxide (NO2);Staten Island;06/01/2014;9.26
Nitrogen Dioxide (NO2);Staten Island;12/31/2015;13.47
Nitrogen Dioxide (NO2);Staten Island;01/01/2018;12.92
Nitrogen Dioxide (NO2);Staten Island;12/01/2017;18.92
Nitrogen Dioxide (NO2);Staten Island;12/01/2011;14.54
Nitrogen Dioxide (NO2);Staten Island;12/01/2013;14.18
Nitrogen Dioxide (NO2);Staten Island;12/01/2015;18.07
Nitrogen Dioxide (NO2);Staten Island;12/01/2008;21.63
Nitrogen Dioxide (NO2);Staten Island;06/01/2010;12.03
Nitrogen Dioxide (NO2);Staten Island;06/01/2013;10.01
Nitrogen Dioxide (NO2);Staten Island;12/01/2014;19.75
Nitrogen Dioxide (NO2);Staten Island;06/01/2017;9.45
Nitrogen Dioxide (NO2);Staten Island;01/01/2017;13.37
Nitrogen Dioxide (NO2);Staten Island;06/01/2018;8.23
Nitrogen Dioxide (NO2);Staten Island;12/01/2010;23.08
Nitrogen Dioxide (NO2);Staten Island;12/01/2012;19.13
Nitrogen Dioxide (NO2);Staten Island;06/01/2009;13.19
Nitrogen Dioxide (NO2);Staten Island;06/01/2011;11.57
Nitrogen Dioxide (NO2);Staten Island;06/01/2012;10.64
Nitrogen Dioxide (NO2);Staten Island;12/01/2012;13.8
Nitrogen Dioxide (NO2);Staten Island;12/01/2013;21.79
Nitrogen Dioxide (NO2);Staten Island;01/01/2015;13.72
Nitrogen Dioxide (NO2);Staten Island;12/01/2008;16.84
Nitrogen Dioxide (NO2);Staten Island;12/01/2009;15.35
Nitrogen Dioxide (NO2);Staten Island;12/01/2010;16.17
Nitrogen Dioxide (NO2);Staten Island;06/01/2015;8.85
Nitrogen Dioxide (NO2);Staten Island;05/31/2016;9.17
Nitrogen Dioxide (NO2);Staten Island;12/01/2016;18.72
Nitrogen Dioxide (NO2);Queens;06/01/2015;13.47
Nitrogen Dioxide (NO2);Queens;12/01/2015;22.45
Nitrogen Dioxide (NO2);Queens;01/01/2018;17.18
Nitrogen Dioxide (NO2);Queens;06/01/2018;12.52
Nitrogen Dioxide (NO2);Staten Island;12/01/2009;19.14
Nitrogen Dioxide (NO2);Staten Island;12/01/2011;17.93
Nitrogen Dioxide (NO2);Queens;01/01/2017;17.85
Nitrogen Dioxide (NO2);Queens;12/01/2016;24.83
Nitrogen Dioxide (NO2);Queens;12/01/2011;22.62
Nitrogen Dioxide (NO2);Queens;12/01/2008;22.19
Nitrogen Dioxide (NO2);Queens;12/01/2011;19.41
Nitrogen Dioxide (NO2);Queens;12/01/2013;26.84
Nitrogen Dioxide (NO2);Queens;06/01/2011;17.04
Nitrogen Dioxide (NO2);Queens;12/01/2012;18.71
Nitrogen Dioxide (NO2);Queens;12/01/2013;18.93
Nitrogen Dioxide (NO2);Queens;12/01/2014;23.93
Nitrogen Dioxide (NO2);Queens;05/31/2016;13.08
Nitrogen Dioxide (NO2);Queens;06/01/2017;13.42
Nitrogen Dioxide (NO2);Queens;12/01/2010;21.47
Nitrogen Dioxide (NO2);Queens;12/01/2008;27.86
Nitrogen Dioxide (NO2);Queens;12/01/2009;25.02
Nitrogen Dioxide (NO2);Queens;12/01/2012;22.84
Nitrogen Dioxide (NO2);Queens;06/01/2009;18.15
Nitrogen Dioxide (NO2);Queens;06/01/2010;17.42
Nitrogen Dioxide (NO2);Queens;12/01/2009;21.01
Nitrogen Dioxide (NO2);Queens;06/01/2014;13.66
Nitrogen Dioxide (NO2);Queens;01/01/2015;18.51
Nitrogen Dioxide (NO2);Queens;12/31/2015;17.65
Nitrogen Dioxide (NO2);Queens;12/01/2017;23.47
Nitrogen Dioxide (NO2);Queens;12/01/2010;28.32
Nitrogen Dioxide (NO2);Manhattan;12/01/2015;27.51
Nitrogen Dioxide (NO2);Manhattan;05/31/2016;20.56
Nitrogen Dioxide (NO2);Manhattan;01/01/2017;24.55
Nitrogen Dioxide (NO2);Manhattan;01/01/2018;23.43
Nitrogen Dioxide (NO2);Queens;06/01/2012;15.84
Nitrogen Dioxide (NO2);Queens;06/01/2013;15.6
Nitrogen Dioxide (NO2);Manhattan;06/01/2011;27.72
Nitrogen Dioxide (NO2);Manhattan;06/01/2012;25.83
Nitrogen Dioxide (NO2);Manhattan;06/01/2013;24.71
Nitrogen Dioxide (NO2);Manhattan;06/01/2014;22.69
Nitrogen Dioxide (NO2);Manhattan;01/01/2015;25.18
Nitrogen Dioxide (NO2);Manhattan;12/01/2014;28.69
Nitrogen Dioxide (NO2);Manhattan;12/01/2016;29.74
Nitrogen Dioxide (NO2);Manhattan;06/01/2018;19.67
Nitrogen Dioxide (NO2);Manhattan;12/01/2008;38.35
Nitrogen Dioxide (NO2);Manhattan;12/01/2009;32.17
Nitrogen Dioxide (NO2);Manhattan;12/01/2011;30.21
Nitrogen Dioxide (NO2);Manhattan;06/01/2010;28.52
Nitrogen Dioxide (NO2);Manhattan;12/01/2010;35.38
Nitrogen Dioxide (NO2);Manhattan;06/01/2009;30.87
Nitrogen Dioxide (NO2);Manhattan;12/01/2010;30.96
Nitrogen Dioxide (NO2);Manhattan;12/01/2012;28.02
Nitrogen Dioxide (NO2);Manhattan;12/01/2013;32.41
Nitrogen Dioxide (NO2);Manhattan;12/31/2015;24.35
Nitrogen Dioxide (NO2);Manhattan;12/01/2013;26.7
Nitrogen Dioxide (NO2);Manhattan;12/01/2017;28.62
Nitrogen Dioxide (NO2);Manhattan;12/01/2008;33.89
Nitrogen Dioxide (NO2);Manhattan;12/01/2011;28.74
Nitrogen Dioxide (NO2);Manhattan;06/01/2015;21.25
Nitrogen Dioxide (NO2);Manhattan;06/01/2017;21.33
Nitrogen Dioxide (NO2);Brooklyn;01/01/2015;19.29
Nitrogen Dioxide (NO2);Brooklyn;12/01/2014;25.26
Nitrogen Dioxide (NO2);Brooklyn;06/01/2017;13.44
Nitrogen Dioxide (NO2);Brooklyn;01/01/2018;17.83
Nitrogen Dioxide (NO2);Manhattan;12/01/2012;31.61
Nitrogen Dioxide (NO2);Manhattan;12/01/2009;30.58
Nitrogen Dioxide (NO2);Brooklyn;12/01/2008;29.43
Nitrogen Dioxide (NO2);Brooklyn;12/01/2008;24.11
Nitrogen Dioxide (NO2);Brooklyn;12/01/2009;22.7
Nitrogen Dioxide (NO2);Brooklyn;12/01/2010;22.84
Nitrogen Dioxide (NO2);Brooklyn;12/01/2011;20.56
Nitrogen Dioxide (NO2);Brooklyn;12/01/2013;27.78
Nitrogen Dioxide (NO2);Brooklyn;12/01/2012;25.3
Nitrogen Dioxide (NO2);Brooklyn;12/01/2012;19.92
Nitrogen Dioxide (NO2);Brooklyn;12/01/2013;19.95
Nitrogen Dioxide (NO2);Brooklyn;01/01/2017;18.46
Nitrogen Dioxide (NO2);Brooklyn;12/01/2016;24.74
Nitrogen Dioxide (NO2);Brooklyn;06/01/2018;12.54
Nitrogen Dioxide (NO2);Brooklyn;06/01/2012;16.27
Nitrogen Dioxide (NO2);Brooklyn;06/01/2015;14.09
Nitrogen Dioxide (NO2);Brooklyn;12/01/2015;23.38
Nitrogen Dioxide (NO2);Brooklyn;05/31/2016;13.62
Nitrogen Dioxide (NO2);Brooklyn;12/31/2015;18.48
Nitrogen Dioxide (NO2);Brooklyn;12/01/2011;23.5
Nitrogen Dioxide (NO2);Brooklyn;12/01/2017;24.01
Nitrogen Dioxide (NO2);Brooklyn;12/01/2009;27.17
Nitrogen Dioxide (NO2);Brooklyn;12/01/2010;29.66
Nitrogen Dioxide (NO2);Brooklyn;06/01/2009;20.14
Nitrogen Dioxide (NO2);Brooklyn;06/01/2010;18.23
Nitrogen Dioxide (NO2);Brooklyn;06/01/2011;18.14
Nitrogen Dioxide (NO2);Brooklyn;06/01/2013;15.75
Nitrogen Dioxide (NO2);Brooklyn;06/01/2014;14.54
Nitrogen Dioxide (NO2);Bronx;06/01/2010;19.42
Nitrogen Dioxide (NO2);Bronx;12/01/2012;19.86
Nitrogen Dioxide (NO2);Bronx;12/01/2014;23.92
Nitrogen Dioxide (NO2);Bronx;05/31/2016;14.92
Nitrogen Dioxide (NO2);Bronx;12/01/2010;28.19
Nitrogen Dioxide (NO2);Bronx;12/01/2011;23.48
Nitrogen Dioxide (NO2);Bronx;06/01/2015;15.96
Nitrogen Dioxide (NO2);Bronx;01/01/2018;17.73
Nitrogen Dioxide (NO2);Bronx;12/01/2012;24.03
Nitrogen Dioxide (NO2);Bronx;06/01/2009;20.83
Nitrogen Dioxide (NO2);Bronx;12/01/2008;24.52
Nitrogen Dioxide (NO2);Bronx;12/01/2009;22.16
Nitrogen Dioxide (NO2);Bronx;06/01/2017;14.97
Nitrogen Dioxide (NO2);Bronx;06/01/2018;13.62
Nitrogen Dioxide (NO2);Bronx;12/01/2017;23.57
Nitrogen Dioxide (NO2);Bronx;12/01/2008;29.29
Sulfur Dioxide (SO2);Bronx;12/01/2008;6.62
Sulfur Dioxide (SO2);Bronx;12/01/2009;4.28
Sulfur Dioxide (SO2);Bronx;12/01/2010;5.44
Sulfur Dioxide (SO2);Bronx;12/01/2013;2.08
Sulfur Dioxide (SO2);Staten Island;12/01/2013;0.83
Sulfur Dioxide (SO2);Staten Island;12/01/2014;0.27
Sulfur Dioxide (SO2);Staten Island;12/01/2010;1.78
Sulfur Dioxide (SO2);Staten Island;12/01/2011;0.81
Sulfur Dioxide (SO2);Staten Island;12/01/2015;0.12
Sulfur Dioxide (SO2);Staten Island;12/01/2009;1.17
Sulfur Dioxide (SO2);Staten Island;12/01/2008;2.13
Sulfur Dioxide (SO2);Staten Island;12/01/2012;0.43
Sulfur Dioxide (SO2);Queens;12/01/2010;3.42
Sulfur Dioxide (SO2);Queens;12/01/2013;1.46
Sulfur Dioxide (SO2);Queens;12/01/2009;2.82
Sulfur Dioxide (SO2);Queens;12/01/2015;0.25
Sulfur Dioxide (SO2);Queens;12/01/2008;3.99
Sulfur Dioxide (SO2);Queens;12/01/2014;0.56
Sulfur Dioxide (SO2);Manhattan;12/01/2012;3.08
Sulfur Dioxide (SO2);Manhattan;12/01/2013;2.9
Sulfur Dioxide (SO2);Manhattan;12/01/2015;0.38
Sulfur Dioxide (SO2);Manhattan;12/01/2008;9.17
Sulfur Dioxide (SO2);Queens;12/01/2011;1.72
Sulfur Dioxide (SO2);Queens;12/01/2012;1.01
Sulfur Dioxide (SO2);Brooklyn;12/01/2013;1.08
Sulfur Dioxide (SO2);Brooklyn;12/01/2015;0.19
Sulfur Dioxide (SO2);Manhattan;12/01/2014;1.19
Sulfur Dioxide (SO2);Manhattan;12/01/2009;6.19
Sulfur Dioxide (SO2);Manhattan;12/01/2010;7.79
Sulfur Dioxide (SO2);Manhattan;12/01/2011;4.81
Sulfur Dioxide (SO2);Brooklyn;12/01/2010;3.26
Sulfur Dioxide (SO2);Brooklyn;12/01/2012;0.9
Sulfur Dioxide (SO2);Brooklyn;12/01/2008;3.92
Sulfur Dioxide (SO2);Brooklyn;12/01/2014;0.47
Sulfur Dioxide (SO2);Brooklyn;12/01/2009;2.66
Sulfur Dioxide (SO2);Brooklyn;12/01/2011;1.55
Ozone (O3);Bronx;06/01/2015;30.39
Ozone (O3);Bronx;06/01/2018;30.78
Ozone (O3);Bronx;06/01/2009;23.7
Ozone (O3);Bronx;06/01/2009;25.3
Ozone (O3);Bronx;06/01/2010;33.16
Ozone (O3);Bronx;06/01/2014;31.15
Ozone (O3);Bronx;06/01/2012;34.61
Ozone (O3);Bronx;06/01/2013;31.25
Ozone (O3);Staten Island;05/31/2016;35.11
Ozone (O3);Staten Island;06/01/2017;28.46
Ozone (O3);Staten Island;06/01/2014;31.41
Ozone (O3);Staten Island;06/01/2012;33.77
Ozone (O3);Staten Island;06/01/2009;30
Ozone (O3);Staten Island;06/01/2011;34.16
Ozone (O3);Staten Island;06/01/2015;32.59
Ozone (O3);Staten Island;06/01/2018;29.81
Ozone (O3);Staten Island;06/01/2013;31.3
Ozone (O3);Queens;06/01/2014;32.43
Ozone (O3);Queens;06/01/2009;26.85
Ozone (O3);Queens;06/01/2013;31.6
Ozone (O3);Queens;06/01/2017;30.83
Ozone (O3);Staten Island;06/01/2009;26.72
Ozone (O3);Staten Island;06/01/2010;35.17
Ozone (O3);Queens;06/01/2009;28.3
Ozone (O3);Queens;06/01/2010;34.07
Ozone (O3);Queens;06/01/2015;32.36
Ozone (O3);Queens;05/31/2016;33.98
Ozone (O3);Queens;06/01/2011;33.72
Ozone (O3);Queens;06/01/2012;34.5
Ozone (O3);Manhattan;06/01/2011;27.27
Ozone (O3);Manhattan;06/01/2012;29.21
Ozone (O3);Manhattan;06/01/2017;25.33
Ozone (O3);Manhattan;06/01/2010;28.21
Ozone (O3);Manhattan;06/01/2018;26.98
Ozone (O3);Queens;06/01/2018;31.46
Ozone (O3);Manhattan;06/01/2009;20.44
Ozone (O3);Manhattan;06/01/2013;26.33
Ozone (O3);Manhattan;06/01/2014;27
Ozone (O3);Manhattan;06/01/2015;27.77
Ozone (O3);Manhattan;06/01/2009;27.5
Ozone (O3);Manhattan;05/31/2016;30.3
Ozone (O3);Brooklyn;06/01/2009;26.27
Ozone (O3);Brooklyn;06/01/2010;33.83
Ozone (O3);Brooklyn;06/01/2017;30.26
Ozone (O3);Brooklyn;06/01/2011;33.19
Ozone (O3);Brooklyn;06/01/2012;33.89
Ozone (O3);Brooklyn;06/01/2018;30.87
Ozone (O3);Brooklyn;06/01/2013;31.13
Ozone (O3);Brooklyn;06/01/2014;31.29
Ozone (O3);Brooklyn;06/01/2015;32.48
Ozone (O3);Brooklyn;05/31/2016;33.98
Ozone (O3);Brooklyn;06/01/2009;28
Ozone (O3);Bronx;06/01/2017;28.85
Ozone (O3);Bronx;06/01/2011;32.91